file,class,method,variable,usage
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\config\SecurityConfig.java,com.central.oauth.config.SecurityConfig,configure/1[com.central.oauth.config.HttpSecurity],authenticationManager,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\config\SecurityConfig.java,com.central.oauth.config.SecurityConfig,configure/1[com.central.oauth.config.HttpSecurity],logoutSuccessHandler,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\config\SecurityConfig.java,com.central.oauth.config.SecurityConfig,configure/1[com.central.oauth.config.HttpSecurity],authenticationEntryPoint,3
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\config\SecurityConfig.java,com.central.oauth.config.SecurityConfig,configure/1[com.central.oauth.config.HttpSecurity],mobileAuthenticationSecurityConfig,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\config\SecurityConfig.java,com.central.oauth.config.SecurityConfig,configure/1[com.central.oauth.config.HttpSecurity],logoutHandler,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\config\SecurityConfig.java,com.central.oauth.config.SecurityConfig,configure/1[com.central.oauth.config.HttpSecurity],tenantProperties,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\config\SecurityConfig.java,com.central.oauth.config.SecurityConfig,configure/1[com.central.oauth.config.HttpSecurity],authenticationDetailsSource,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\config\SecurityConfig.java,com.central.oauth.config.SecurityConfig,configure/1[com.central.oauth.config.HttpSecurity],tenantAuthenticationSecurityConfig,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-log-spring-boot-starter\src\main\java\com\central\log\aspect\AuditLogAspect.java,com.central.log.aspect.AuditLogAspect,"getAudit/2[com.central.log.annotation.AuditLog,com.central.log.aspect.JoinPoint]",applicationName,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-log-spring-boot-starter\src\main\java\com\central\log\aspect\AuditLogAspect.java,com.central.log.aspect.AuditLogAspect,"AuditLogAspect/2[com.central.log.properties.AuditLogProperties,com.central.log.service.IAuditService]",auditService,3
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-log-spring-boot-starter\src\main\java\com\central\log\aspect\AuditLogAspect.java,com.central.log.aspect.AuditLogAspect,"AuditLogAspect/2[com.central.log.properties.AuditLogProperties,com.central.log.service.IAuditService]",auditLogProperties,3
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-log-spring-boot-starter\src\main\java\com\central\log\aspect\AuditLogAspect.java,com.central.log.aspect.AuditLogAspect,"getValBySpEL/3[java.lang.String,com.central.log.aspect.MethodSignature,java.lang.Object[]]",spelExpressionParser,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-log-spring-boot-starter\src\main\java\com\central\log\aspect\AuditLogAspect.java,com.central.log.aspect.AuditLogAspect,"getValBySpEL/3[java.lang.String,com.central.log.aspect.MethodSignature,java.lang.Object[]]",nameDiscoverer,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-log-spring-boot-starter\src\main\java\com\central\log\aspect\AuditLogAspect.java,com.central.log.aspect.AuditLogAspect,"beforeMethod/2[com.central.log.aspect.JoinPoint,com.central.log.annotation.AuditLog]",auditService,2
