file,class,method,variable,usage
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\StaggeredActivity.java,StaggeredActivity,onCreate/1[Bundle],toolbar,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\StaggeredActivity.java,StaggeredActivity,onCreate/1[Bundle],savedInstanceState,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\StaggeredActivity.java,StaggeredActivity,onCreate/1[Bundle],actionBar,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\StaggeredActivity.java,StaggeredActivity,refresh/0,member,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\StaggeredActivity.java,StaggeredActivity,refresh/0,i,3
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\StaggeredActivity.java,StaggeredActivity,refresh/0,j,3
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\StaggeredActivity.java,StaggeredActivity,refresh/0,group,4
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,Group/1[com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Parcel],in,3
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,"writeToParcel/2[com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Parcel,int]",flags,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,"writeToParcel/2[com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Parcel,int]",dest,3
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,setMemberList/1[java.util.List<com.yanzhenjie.recyclerview.sample.activity.expanded.entity.GroupMember>],memberList,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,setExpanded/1[boolean],expanded,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,setName/1[java.lang.String],name,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\adapter\MainAdapter.java,ViewHolder,setData/1[String],title,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\adapter\MainAdapter.java,ViewHolder,ViewHolder/1[View],itemView,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\adapter\ExpandedAdapter.java,ChildHolder,setData/1[GroupMember],data,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\adapter\ExpandedAdapter.java,ChildHolder,"ChildHolder/2[View,ExpandableAdapter]",adapter,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\adapter\ExpandedAdapter.java,ChildHolder,"ChildHolder/2[View,ExpandableAdapter]",itemView,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\fragment\MenuFragment.java,MenuFragment,"onViewCreated/2[View,Bundle]",savedInstanceState,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\fragment\MenuFragment.java,MenuFragment,"onViewCreated/2[View,Bundle]",view,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\fragment\MenuFragment.java,MenuFragment,"onCreateView/3[LayoutInflater,ViewGroup,Bundle]",container,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\fragment\MenuFragment.java,MenuFragment,"onCreateView/3[LayoutInflater,ViewGroup,Bundle]",savedInstanceState,0
