file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\AlbumActivity.java,com.yanzhenjie.album.app.album.AlbumActivity$Anonymous3,anonymous,2,2,0,2,3,1,0,3,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2,0,0,0,0,1,0,1,1,0,0,0,10,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\AlbumAdapter.java,com.yanzhenjie.album.app.album.AlbumAdapter$ImageHolder,innerclass,12,12,0,12,10,3,0,12,0,0.22222222,1,1,3,0,2,0,0,1,3,0,0,0,6,0,0,6,0,0,3,0,1,39,0,0,3,0,0,0,6,9,3,9,1,0,0,0,30,10,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\Action.java,com.yanzhenjie.album.Action,interface,2,16,14,2,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\AlbumActivity.java,com.yanzhenjie.album.app.album.AlbumActivity$Anonymous4,anonymous,4,4,0,4,2,1,0,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,3,0,2,1,0,0,0,13,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\divider\Drawer.java,com.yanzhenjie.album.widget.divider.Drawer,class,3,6,3,3,5,1,1,6,0,0,1,1,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,3,0,0,42,0,0,0,0,0,0,0,19,14,19,0,0,0,0,30,0,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\AlbumView.java,com.yanzhenjie.album.app.album.AlbumView$Anonymous2,anonymous,3,3,0,3,1,1,0,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\gallery\GalleryActivity.java,com.yanzhenjie.album.app.gallery.GalleryActivity,class,11,13,2,11,22,3,0,35,0,0.6666667,0.60714287,1,9,0,7,1,1,0,8,0,0,0,10,4,4,6,0,0,0,0,0,88,0,3,6,0,0,5,4,18,2,15,3,0,0,0,51,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\MainActivity.java,com.yanzhenjie.album.sample.MainActivity,class,14,14,0,14,10,2,0,9,1,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,1,0,0,0,0,3,0,3,1,0,0,0,37,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\AlbumView.java,com.yanzhenjie.album.app.album.AlbumView$Anonymous3,anonymous,3,3,0,3,1,1,0,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\AlbumFile.java,com.yanzhenjie.album.AlbumFile,class,6,57,51,6,42,1,0,16,325,0.8903226,0.15053764,0.8129032,31,0,30,0,1,0,31,0,0,0,15,3,3,12,0,0,3,0,0,150,19,0,6,0,2,0,9,30,1,18,2,1,0,0,69,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\mvp\ViewSource.java,com.yanzhenjie.album.mvp.ViewSource$Anonymous2,anonymous,2,2,0,2,2,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\AlbumView.java,com.yanzhenjie.album.app.album.AlbumView$Anonymous1,anonymous,3,3,0,3,1,1,0,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\mvp\ViewSource.java,com.yanzhenjie.album.mvp.ViewSource$Anonymous1,anonymous,2,2,0,2,2,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\gallery\GalleryView.java,com.yanzhenjie.album.app.gallery.GalleryView$Anonymous4,anonymous,3,3,0,3,1,1,0,3,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\SquareRelativeLayout.java,com.yanzhenjie.album.widget.SquareRelativeLayout,class,6,6,0,6,6,2,0,3,4,0.5,0,0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,32,0,0,0,0,0,1,2,2,0,2,1,0,0,0,31,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\gallery\GalleryView.java,com.yanzhenjie.album.app.gallery.GalleryView$Anonymous2,anonymous,6,6,0,6,3,1,0,4,0,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\AlbumFolder.java,com.yanzhenjie.album.AlbumFolder,class,5,19,14,5,12,1,0,7,13,0.67499995,0.35555556,0.62222224,10,0,9,0,1,0,10,0,0,0,4,1,1,3,0,0,1,0,0,47,4,0,1,0,1,0,4,7,0,4,0,1,0,0,40,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\gallery\GalleryView.java,com.yanzhenjie.album.app.gallery.GalleryView$Anonymous3,anonymous,3,3,0,3,1,1,0,3,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\gallery\GalleryView.java,com.yanzhenjie.album.app.gallery.GalleryView$Anonymous1,anonymous,2,2,0,2,1,1,0,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\app\AlbumFilterActivity.java,com.yanzhenjie.album.sample.app.AlbumFilterActivity,class,21,26,5,21,10,2,0,40,4,0.68,0,0,5,0,2,2,1,0,3,0,0,0,5,0,0,5,0,0,0,0,4,97,2,0,2,0,0,0,7,6,0,8,1,7,0,0,64,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\app\GalleryActivity.java,com.yanzhenjie.album.sample.app.GalleryActivity,class,10,12,2,10,5,2,0,23,4,0.5833333,0,0,4,0,1,1,2,0,3,0,0,0,3,1,0,3,0,0,1,0,3,42,1,0,0,0,0,40,0,5,0,5,1,2,0,0,53,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\mvp\BaseFragment.java,com.yanzhenjie.album.mvp.BaseFragment,class,9,9,0,9,5,2,0,3,6,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,0,0,0,0,1,0,1,1,0,0,0,22,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\GalleryActivity.java,com.yanzhenjie.album.app.album.GalleryActivity,class,12,14,2,12,21,3,0,34,6,0.625,0.35714287,0.35714287,9,0,7,1,1,0,8,0,0,0,8,4,4,4,0,0,0,0,1,139,0,0,4,0,0,6,5,20,2,14,3,0,1,0,71,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\AlbumAdapter.java,com.yanzhenjie.album.app.album.AlbumAdapter$MediaViewHolder,innerclass,3,3,0,3,2,2,0,0,1,0,0,0,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1034,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\gallery\PreviewAdapter.java,com.yanzhenjie.album.app.gallery.PreviewAdapter,class,13,15,2,13,14,2,0,10,27,0.72499996,0.2,0.46666667,10,0,9,0,1,0,10,1,0,0,4,0,0,4,0,0,0,0,0,48,4,0,4,0,1,0,3,6,0,6,1,0,0,0,50,1025,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\impl\OnCheckedClickListener.java,com.yanzhenjie.album.impl.OnCheckedClickListener,interface,1,5,4,1,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\Contract.java,com.yanzhenjie.album.app.Contract$GalleryPresenter,interface,1,1,0,1,5,1,0,0,10,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\ItemAction.java,com.yanzhenjie.album.ItemAction,interface,2,5,3,2,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\ImageMultipleWrapper.java,com.yanzhenjie.album.api.ImageMultipleWrapper,class,7,10,3,7,4,3,0,3,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,1,0,1,0,0,1,0,0,0,0,0,30,2,0,0,0,0,0,2,8,0,2,0,0,0,0,37,17,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\choice\AlbumChoice.java,com.yanzhenjie.album.api.choice.AlbumChoice,class,4,5,1,4,3,1,0,0,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,15,17,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\app\Adapter.java,com.yanzhenjie.album.sample.app.Adapter,class,12,28,16,12,12,3,0,9,1,0.5555556,0.46666667,0.46666667,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,95,5,0,2,0,2,1,1,5,0,5,1,0,2,0,54,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\photoview\gestures\CupcakeGestureDetector.java,com.yanzhenjie.album.widget.photoview.gestures.CupcakeGestureDetector,class,7,10,3,7,20,1,1,19,13,0.73469394,0.14285715,0.2857143,7,0,5,0,0,2,7,0,0,0,7,0,0,4,1,2,2,0,4,91,5,0,5,0,2,0,1,21,5,14,4,0,0,0,39,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\gallery\GalleryView.java,com.yanzhenjie.album.app.gallery.GalleryView,class,18,21,3,18,22,3,0,31,38,0.7692307,0.25641027,0.84615386,13,0,11,0,2,0,13,0,0,0,7,0,0,7,0,0,0,0,4,112,0,0,3,0,0,0,4,10,0,10,1,4,0,0,65,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\TransferLayout.java,com.yanzhenjie.album.widget.TransferLayout,class,5,5,0,5,7,2,0,3,10,0,0,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,2,0,0,0,5,0,0,0,1,0,0,0,24,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\photoview\scrollerproxy\GingerScroller.java,com.yanzhenjie.album.widget.photoview.scrollerproxy.GingerScroller,class,4,6,2,4,7,2,1,6,0,0,1,1,7,0,7,0,0,0,7,0,0,0,1,0,0,0,1,0,1,0,0,24,4,0,0,0,0,0,1,1,0,1,0,0,0,0,20,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\ImageCameraWrapper.java,com.yanzhenjie.album.api.ImageCameraWrapper,class,5,8,3,5,2,2,0,2,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,1,0,0,0,0,17,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\impl\DoubleClickWrapper.java,com.yanzhenjie.album.impl.DoubleClickWrapper,class,2,3,1,2,3,1,0,2,0,0.25,1,1,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,1,0,1,14,0,0,0,0,0,0,1,3,1,3,1,0,0,0,16,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\divider\Divider.java,com.yanzhenjie.album.widget.divider.Divider,class,1,9,8,1,2,2,2,0,1,0,0,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1025,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\AlbumFile.java,com.yanzhenjie.album.AlbumFile$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\data\MediaReadTask.java,com.yanzhenjie.album.app.album.data.MediaReadTask$ResultWrapper,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,8,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\mvp\Bye.java,com.yanzhenjie.album.mvp.Bye,interface,0,5,5,0,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\data\MediaReadTask.java,com.yanzhenjie.album.app.album.data.MediaReadTask$Callback,interface,2,2,0,2,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\AlbumLoader.java,com.yanzhenjie.album.AlbumLoader$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\app\GalleryActivity.java,com.yanzhenjie.album.sample.app.GalleryActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\app\GalleryActivity.java,com.yanzhenjie.album.sample.app.GalleryActivity$Anonymous2,anonymous,1,1,0,1,1,1,0,0,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\data\ThumbnailBuildTask.java,com.yanzhenjie.album.app.album.data.ThumbnailBuildTask$Callback,interface,1,1,0,1,2,1,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\app\DefineStyleActivity.java,com.yanzhenjie.album.sample.app.DefineStyleActivity$Anonymous4,anonymous,3,3,0,3,2,1,0,3,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\SquareCardView.java,com.yanzhenjie.album.widget.SquareCardView,class,6,6,0,6,6,2,0,3,4,0.5,0,0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,32,0,0,0,0,0,1,2,2,0,2,1,0,0,0,31,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\photoview\gestures\OnGestureListener.java,com.yanzhenjie.album.widget.photoview.gestures.OnGestureListener,interface,0,5,5,0,3,1,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
